word,frequency,frequency %
design,9776,20.812841966319645
studio,3032,6.455046730961657
inc,2299,4.894509378126929
ltd,2274,4.841285048221243
creative,2073,4.413361435779524
llc,1945,4.140852866662409
group,1003,2.135360115816142
designs,933,1.9863319920802196
interiors,797,1.6967916373932852
media,649,1.3817036043516213
limited,587,1.2497072661855186
interior,555,1.18158012390624
co,538,1.1453875795703732
studios,533,1.1347427135892358
solutions,514,1.0942922228609142
engineering,508,1.0815183836835494
agency,484,1.0304230269740904
digital,483,1.0282940537778629
web,434,0.9239743671627174
associates,357,0.760043431053203
consulting,319,0.6791424495965596
company,317,0.6748845032041046
services,291,0.6195312001021908
brand,281,0.5982414681399161
diseo,270,0.5748227629814141
art,258,0.5492750846266845
gmbh,238,0.5066956207021354
estudio,220,0.4683741031700411
srl,217,0.4619871835813587
branding,215,0.4577292371889038
lab,212,0.4513423176002214
home,206,0.4385684784228567
marketing,201,0.42792361244171934
pvt,201,0.42792361244171934
visual,201,0.42792361244171934
lighting,190,0.4045049072832173
graphics,183,0.3896020949096251
product,180,0.38321517532094274
pty,179,0.3810862021247152
international,178,0.37895722892848777
development,177,0.3768282557322603
innovation,174,0.37044133614357794
graphic,171,0.36405441655489557
house,168,0.3576674969662132
interactive,158,0.3363777650039386
consultants,155,0.3299908454152562
landscape,152,0.3236039258265738
technologies,149,0.31721700623789145
collective,144,0.30657214025675417
architecture,141,0.3001852206680718
engineers,138,0.2937983010793894
communications,136,0.2895403546869345
new,129,0.27463754231334225
,126,0.2682506227246599
ab,125,0.2661216495284324
3d,122,0.25973472993975005
communication,119,0.2533478103510677
works,117,0.24908986395861277
designers,116,0.2469608907623853
labs,114,0.2427029443699304
atelier,114,0.2427029443699304
london,112,0.23844499797747545
sl,111,0.236316024781248
kitchen,109,0.23205807838879308
systems,108,0.22992910519256562
red,108,0.22992910519256562
concept,108,0.22992910519256562
one,105,0.22354218560388325
consultancy,103,0.21928423921142834
concepts,102,0.21715526601520088
bv,100,0.21289731962274594
technology,99,0.21076834642651848
designer,98,0.20863937323029103
kitchens,95,0.20225245364160865
projects,94,0.2001234804453812
blue,92,0.19586553405292628
office,92,0.19586553405292628
black,92,0.19586553405292628
productions,91,0.19373656085669883
custom,91,0.19373656085669883
ux,90,0.19160758766047137
project,89,0.18947861446424388
oy,88,0.18734964126801643
partners,85,0.18096272167933405
space,85,0.18096272167933405
ideas,84,0.1788337484831066
green,84,0.1788337484831066
uk,83,0.17670477528687914
architects,82,0.17457580209065168
decor,81,0.17244682889442423
experience,81,0.17244682889442423
industrial,81,0.17244682889442423
advertising,81,0.17244682889442423
light,80,0.17031785569819677
center,79,0.1681888825019693
factory,79,0.1681888825019693
creations,79,0.1681888825019693
garden,75,0.15967298971705945
corp,74,0.157544016520832
comunicao,74,0.157544016520832
